url,domain,title,text,outlinks
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/responsible-research-innovation",,"Responsible research & innovation",,
"http://ec.europa.eu/programmes/horizon2020/en",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/contact",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/what-horizon-2020",,"What is Horizon 2020?",,
"http://ec.europa.eu/programmes/horizon2020/en/about-site",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/find-your-area",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/find-your-area",,"European Commission",,
"http://ec.europa.eu/index_en.htm",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/551/",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-sections",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/573/",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/how-get-funding",,"How to get funding?",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/546",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/547",,"European Commission",,
"http://ec.europa.eu/geninfo/legal_notices_en.htm",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/open-science-open-access",,"Open Science (Open Access)",,
"http://ec.europa.eu/programmes/horizon2020/en/ecas",,"Where are you from?",,
"http://ec.europa.eu/programmes/horizon2020/en/h2020-section/science-and-society",,"Science with and for Society",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/550/",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/account_request",,"Where are you from?",,
"http://ec.europa.eu/programmes/horizon2020/en/search/site",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/news/horizon-2020-video-how-apply",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/news/presentations-sc2-info-day-calls-2015-are-line",,"Presentations from SC2 Info Day on calls 2015 are on-line",,
"http://ec.europa.eu/programmes/horizon2020/en/news/graphene-energy-sector-%E2%80%93-researchers-and-industrialists-talk-business-energy-applications",,"Graphene in the energy sector – researchers and industrialists talk business: Energy Applications workshop",,
"http://ec.europa.eu/programmes/horizon2020/en/home",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/news/eu-research-turning-food-waste-feed",,"EU research turning food waste into feed",,
"http://ec.europa.eu/programmes/horizon2020/h2020-sections",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/news/eu-research-shows-need-action-now-climate-change",,"EU research shows need for action now on climate change",,
"http://ec.europa.eu/programmes/horizon2020/en/news/horizon-2020-video-general-overview",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/news/check-out-our-latest-fet-newsletter-edition-november-2014",,"Check out our latest FET Newsletter",,
"http://ec.europa.eu/programmes/horizon2020/en/newsroom/546 547/",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/news/first-announcement-save-date-conference-transport-safety-societal-challenges-research-solutions",,"Transport Safety: societal challenges, research solutions",,
"http://ec.europa.eu/programmes/horizon2020/en/what-work-programme",,"What is a Work Programme ?",,
"http://ec.europa.eu/programmes/horizon2020/en/experts",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/official-documents",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/history-horizon-2020",,"History of Horizon 2020",,
"http://ec.europa.eu/programmes/horizon2020/en/area/health",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/area/environment-climate-action",,"Environment & Climate Action",,
"http://ec.europa.eu/programmes/horizon2020/en/area/key-enabling-technologies",,"Key Enabling Technologies",,
"http://ec.europa.eu/programmes/horizon2020/en/area/innovation",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/area/raw-materials",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/area/ict-research-innovation",,"ICT Research & Innovation",,
"http://ec.europa.eu/programmes/horizon2020/en/area/security",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/area/space-0",,"European Commission",,
"http://ec.europa.eu/programmes/horizon2020/en/area/international-cooperation",,"International Cooperation",,
"http://ec.europa.eu/programmes/horizon2020/en/area/partnerships-industry-and-member-states",,"Partnerships with Industry and Member States",,
